as_of,name,tweet_volume
2020-10-03T02:28:27Z,Donald Trump,8937832
2020-10-03T03:29:38Z,Donald Trump,11799446
2020-10-03T04:30:49Z,Donald Trump,11959904
2020-10-03T04:30:49Z,Donald Trump,1434092
2020-10-03T05:31:52Z,Donald Trump,11431962
2020-10-03T05:31:52Z,Donald Trump,1291085
2020-10-03T06:32:54Z,Donald Trump,11101997
2020-10-03T06:32:54Z,Donald Trump,1225519
2020-10-03T07:33:57Z,Donald Trump,10949662
2020-10-03T07:33:57Z,Donald Trump,1185303
2020-10-03T10:37:08Z,Donald Trump,10593768
2020-10-03T11:38:18Z,Donald Trump,10391075
2020-10-03T12:39:26Z,Donald Trump,10152764
2020-10-04T03:57:29Z,Donald Trump,7904996
2020-10-04T04:58:36Z,Donald Trump,7631271
2020-10-04T05:59:40Z,Donald Trump,6615623
2020-10-04T07:00:42Z,Donald Trump,4664439
2020-10-04T08:01:46Z,Donald Trump,7555704
2020-10-04T09:02:49Z,Donald Trump,7508500
2020-10-04T10:03:52Z,Donald Trump,7459669
2020-10-04T11:04:56Z,Donald Trump,7419018
2020-10-05T06:25:58Z,Donald Trump,6992387
2020-10-05T07:27:00Z,Donald Trump,7005828
2020-10-05T09:29:04Z,Donald Trump,7016029
2020-10-08T01:39:08Z,Mike Pence,1126041
2020-10-08T02:40:17Z,Mike Pence,3932577
2020-10-08T03:41:26Z,Mike Pence,5227844
2020-10-08T04:42:31Z,Mike Pence,5904721
2020-10-08T05:43:34Z,Mike Pence,6405007
2020-10-08T06:44:36Z,Mike Pence,6577755
2020-10-08T09:47:40Z,Mike Pence,6862464
2020-10-08T10:48:43Z,Mike Pence,6982902
2020-10-08T11:49:46Z,Mike Pence,7168964
2020-10-08T12:50:51Z,Mike Pence,7411833
2020-10-08T13:52:05Z,Mike Pence,7656918
2020-10-08T14:53:20Z,Mike Pence,7871862
2020-10-21T05:18:25Z,Donald Trump,4558978
2020-10-21T09:22:33Z,Donald Trump,1843466
2020-10-21T10:23:36Z,Donald Trump,1186949
2020-10-21T11:24:40Z,Donald Trump,1234314
2020-10-23T02:06:02Z,Joe Biden,1894513
2020-10-23T03:07:08Z,Joe Biden,1808585
2020-10-23T04:08:14Z,Joe Biden,1119717
2020-10-23T05:09:17Z,Donald Trump,3189530
2020-10-23T05:09:17Z,Joe Biden,1247678
2020-10-23T06:10:18Z,Joe Biden,1320016
2020-10-23T07:11:19Z,Joe Biden,1364063
2020-10-23T08:12:20Z,Donald Trump,2889597
2020-10-23T09:13:20Z,Joe Biden,2711504
2020-10-23T10:14:22Z,Joe Biden,2726649
2020-10-23T11:15:25Z,Joe Biden,2579209
2020-10-23T12:16:28Z,Joe Biden,1267132
2020-10-25T06:00:39Z,Donald Trump,2118749
2020-10-26T05:25:28Z,Donald Trump,3846817
2020-10-26T06:26:29Z,Donald Trump,3868152
2020-10-26T07:27:31Z,Donald Trump,3880851
2020-10-27T06:52:27Z,Donald Trump,1251339
2020-10-29T07:43:54Z,Donald Trump,1758796
2020-10-30T07:11:35Z,Donald Trump,4243144
2020-10-31T07:37:27Z,Donald Trump,3048681
2020-10-31T08:38:28Z,Donald Trump,1547631
2020-10-31T09:39:31Z,Donald Trump,1175863
2020-11-01T07:02:03Z,Donald Trump,2322259
2020-11-01T07:02:03Z,Joe Biden,1424140
2020-11-01T08:03:05Z,Joe Biden,1559289
